question,answer
"I plan to represent myself in court and consider myself extremely versatile so I should be able to win it. However, if you could give me one piece of advice, what would it be?","Be careful. Only fools represent themselves
"
What do gun fanatics have to say about the fact that there are over 130 studies proving that gun control works? Do they just deny the facts?,"Information garnered from a single source is always suspect. A truth seeker will dive deep into each source, looking for the credentials of the author and the validity of the base premise.
"
"Which angel is more popular, the Angel Michael, or the Angel Gabriel?","Have encountered a lot of St. Michael churches, but no St. Gabriels so far, so I would venture Michael.
"
What are the best telegram groups for civil service preparation?,"Hi guys you can join telegram group who have taken civil engineering as there optional subject in upsc
 Serious aspirant only
 It is a start please join and make it a hub
 [LINKED_TEXT: Upsc aspirants with civil engg optional] [URL: https://t.me/joinchat/GLP51Q7PXM2_W880QZfq6g]
 Join
"
Texas' Republican senators fought against Hurricane Sandy aid to New York. Should New York senators be nicer to you Texans?,"They fought against Hurricane Sandy aid because of the obvious corruption and mismanagement of the money. Texas has a crisis and has a right to ask for help.
"
What will be the change in the expected cutoff of the SSC CGL 2019 as compared to the SSc CGL 2018 as there are less vacancies this time?,"Cutoff depends upon level of difficulty..
 Since cgl 2019 tier 1 was easier than tier 1 of cgl 2018 so cutoff will be around 140 but not more than that.
"
"What is your favorite sci-fi book series, and why?","I really loved Sleeping in a sea of stars by Christopher Paolini. You can check my other book rec on IG(smellslikereaderspirit)
"
How do I translate Hindi sentences in Sanskrit?,"Simply use Google Translator
"
What is the best way to start learning PHP?,"nice this php learn from basic
"
What is the most dangerous place on Earth?,"The most dangerous thing on earth, and possibly in the visible universe is… us, we humans.
"
How can I download magazines for free on the Internet?,"I guess all I can suggest off the top of my head at this time is libby at least if you have a library card anyways.
"
What is your favorite guitar joke?,"“Dynamics? I'm playing as loud as I already can!”
"
Did the Maya use a base ten number system? Why or why not?,"No, they used (and their language still uses) base 20. In practical terms they manage it as four hands of five digits. Their language suggests that historically they may have used base four because elements of the number names cycle thru at four-digit intervals, restarting at 12, so perhaps it was base 12. All speculative, but reminiscent of their multiple (>12) simultaneous calendars, none of which corresponds to 365.249 or 28.51 days.
"
Which is the best car brand in the world?,"1971 Torino, 1985 Escort, 1994 Taurus, 2004 Colorado, 2014 Escape, and 2019 F150. Coincidentally they also just happen to be cars that I've owned.
"
Do you think John Lennon would have been a Nirvana fan?,"Probably
"
What is the best opening sentence you have read in a book?,"Granted: I am an inmate of a mental hospital; my keeper is watching me, he never lets me out of his sight; there’s a peep-hole in the door, and my keeper’s eye is the shade of brown that can never see through a blue-eyed type like me.
 The Tin Drum by Gunther Grass.
"
Why did the army get rid of digital camo?,"If you're referring to the UCP of the US Army, it was subpar in most environments.
"
How do snow plows know where the edge of the road is and not run off?,"In areas where snowplows are operating every winter, you will often see some type of markers at the edges of the roadways placed for just this purpose.
"
How realistic is a Thorium based nuclear reactor?,"Thorium is not a nuclear fuel. It does not fission.
"
"Can you defend the line ""I don't like sand""?","No - I LIKE sand…………..
"
What is the most shocking substitution in a football match?,"I don't remember the exact date or which world cup it was but when Louis Van Gaal subbed out Jesper Cillesen for Tim Krul (or was it the other way around?) in stoppage time, I was pretty shocked. All because LVG was worried about the penalty shootout.
"
"What is your favorite Mexican restaurant in Fort Wayne, Indiana?","Cebollas
"
How can I become a genius like Einstein?,"Be a doddering fool
"
What is the best one liner you have written?,"It is not an inspiration or motivation line. When I am doing any project or hacking releated thing so when any harder part come I am always say “As simple as it sound “ so my harder work make easy
 Thanks for reading
"
Do you think after ROTS ended Yoda knew Padme was the one Anakin was trying to save?,"Probably. I mean like, Yoda isn’t stupid. After finding out that Anakin and Padme had babies together and that she ended up dying, it’s not that big of a stretch to think she was the one Anakin had visions of.
"
Are online schools worth it?,"I honestly don’t know we are still learning/figuring it out. Google classroom (the teacher sends you a link and sends school work via email/classroom link.
"
Which is the best car brand in the world?,"[LINKED_TEXT: Is Toyota Supra : Worth the price? Few cars have captured the imagination of automotive enthusiasts quite like the Toyota Supra. First introduced in the late 1970s, the Supra...https://mycare36.blogspot.com/2023/05/is-toyota-supra-worth-price.html] [URL: https://mycare36.blogspot.com/2023/05/is-toyota-supra-worth-price.html]"
"Bagels are made with about five cents’ worth of ingredients, and they’re sold in bagel shops for a couple of bucks a piece, which is a 4000% markup. What other products do you know of that have huge markups?","A cup of Coffee in coffeeshops
"
"What's the next number in the series: 1, 4, 5, 6, 7, 9, 11?","For:
 1, 4, 5, 6, 7, 9, 11, ?
 Distance between (*), we have
 4(*2)6, 6(*3)9, 9(*4)*13
 Pattern of *2/*3/*4 (*added to the 1st numeric symbol to formulate the next).
 So we have: 1, 4, 5, 6, 7, 9, 11, *13
 One conclusion/formulation, as I know there are numerous others…
"
Why do Navy pilots salute with the left hand?,"They don't always but when they do its because they have their right hand on the control stick of their aircraft and they're about to be catapulted down the flight deck.
"
"Some wine bottles have a punt, and some don’t. But do the bottles hold the same amount of wine?","Yes. My understanding is the punt is there because an aged red wine could throw sediment. The punt helped keep the sediment out of the glass.
"
"If the multiverse theory is true, what universes can you come up with that have only minor details changed from ours that ensures hilarity?","Time travel exists, and all time travel paradoxes are easily resolved, so pretty much everyone is their own great grandfather or great grandmother and no one's sure how many times they’ve killed Hitler.
"
How do ballroom dance competitions work?,"I agree that it is a dying art. Every man should at the very least know how to dance a basic box waltz.
"
"Who will you vote for as the next Prime Minister of India, S Jaishankar, Nitin Gadkari, Yogi Adityanath, Arvind Kejriwal, Mamata Banerjee, or Rahul Gandhi?","The question doesn't arise now since PM Modi will certainly contest the 2024 parliamentary elections & the BJP under his dynamic and determined leadership will be voted back to power by the people with a huge mandate so that PM Modi will complete his vision of making Bharat greater again among the nations of the world.
"
"How can the crew of a submarine know the exact place they are in the World when the submarine is submerged? How can they navigate accurately knowing the position they are? Similarly, how can subs avoid collision with seamounts and rocky outcrops?","In the early days of nuclear submarines location underwater was determined by Inertial Navigation Systems (INS) most made by the Remington-Rand Corporation.
 I dated the RR team leader’s daughter in the early 1970s.
"
"What will happen if Ambani, Tata, or Adani decides to close down their business in India?","Their main companies are listed public companies.
 They are at best, holders of large percentage of shares.
 They will be overruled by majority of the shareholders, should they decide to do any such thing.
 At best, they can sell their holdings and leave the board or become passive shareholders.
"
What does Galatians 2:21 mean?,"Note what Paul wrote in the whole letter, or at least from 2:16 to 21.
 If we put ourselves under Mosaic Law, we will condemned by it as sinners.
 Thank God that Jesus set us free by fulfilling that law, something no descendant of Adam could do.
"
What is the string theory about?,"Watch thisvideo and start understanding string theory
"
Social Sciences:,"Yes, social science is a real science. Social science is the study of human behavior and society, and it involves the use of scientific methods to analyze and understand social phenomena. Social science can include disciplines such as psychology, sociology, anthropology, economics, political science, and history.
"
Is the golden ratio overrepresented in popular media?,"Yes. Steel Ball Run has forever left me confused as to what it is thanks to associating it with rotational energy. In the immortal words of Gyro Zeppeli, “EAT SHIT ASSHOLE! Fall off your horse!”
"
"People say that I shouldn't give Parle G to stray dogs. So, what should I give them to eat? I feed like 4-5 of them once/twice a week, need some recommendations?","invest in some pedigree and/or royal canine!!
"
"What's better, Alibaba or Amazon?","I have not purchased any thing on Albaba yet but have read many many bad reports. I am buying on Amazon (and many other on line stores) for more than last 5 years. I feel Amazon is very good provided you have capacity to bear the loss having paid money and not received the items. So that way both are equally unreliable. It looks in India all the online sellers are cheats to some extent except those who deal in COD -cash on delivery.
"
What are some examples of arguments against the existence of an afterlife?,"A complete lack of evidence. Ancient books written by people who didn't know where the sun goes at night don't count, that is mythology.
"
How does a nuclear pulse propulsion system work?,"If it’s about some medical application, I don’t know.
"
What is the slickest way a person has gotten out of a traffic ticket?,"A few years ago, I was ticketed for a Left Turn on Red, to a freeway on-ramp. I told the cop I thought LTOR was legal, he assured me it was not. A few hours later, he called me up, and told me to tear up the ticket, that he had looked it up, and I was right!
 TL,DR: Got out of the ticket, because the looked up the law, AFTER writing it…..
"
Should I eat McDonald's or Burger King?,"McDonald’s i think so
"
What are your silly little parenting tricks that you're so glad you discovered?,"For a small child: Nice one! And perhaps some small celebration, when my daughter had a boo-boo that would normally make a child cry. Worked every time, unless she was actually injured.
 Also, when there was any creature that scared her, like a spider, give the spider a name. One Daddy Longlegs was “Herman"", and I cought my daughter trying to feed him, and saying goodnight.
"
What are the most touristic countries in the world?,"Top ten most beautiful places. You can watch the video…link ➡️➡️ [LINKED_TEXT: https://youtu.be/aj9ehZAUYZs] [URL: https://youtu.be/aj9ehZAUYZs]
 For more check out my Chanel at PT's top ten.
"
What is the best thing I can do before I die?,"Live...because most people just exist.
"
What are the must-have iPhone apps? Why?,"GIVEWAY WIN TIME
 BE THE FIRST TO GET AN iPHONE ( FREE 100 iPHONE CONTEST)
 4 DAYS LEFT | NOW HURRY UP
 Steps to Participate in this Contest:
 1. Click this link on profile bio.
 2. Select your Country Offer
 3.Submit your Email
"
What company offers good mobile application development services?,"A lot of companies offer Application Development Services. Look no further our company “codexdesigns” offers professional Application Development Services for Android & iOS. We develop Hybrid and Native Applications for Android & iOS users.
 Code X Designs completes 250+ projects and 6 years of experience in [LINKED_TEXT: Application Development] [URL: https://www.codexdesigns.net/services/application-development/]
 Thanks
"
"How can I apply for a birth certificate online, and when will it come to me?","Hello ,
 Firstly, your birth has to be registered with the registrar and the concerned authorities. If your are register with registrar, then you just have to give them the details of your birth. Like DOB.
 Once you give them they will ask you to fill the form and also how many copies you want.
 You will be getting the same within a week.
 Thanks 😊
"
What is preventing Russia from rising as a superpower again?,"Putin and the other Russian oligarchs. Rich people hoard money that the country needs to build itself up. It’s the same reason America has been in decline for 41 years.
"
How difficult was it for you to find your life purpose?,"I don't think there is a purpose in life I think there's a understanding of how to live understand and adapt to life I'm my humble opinion
"
"Who would win, Killua Zoldyck or Shoto Todoroki?","Todoroki would most likely win because if he use his fire quirk while fighting Killua, Killua can´t get close to Todoroki.
 If you read volume 22 of My Hero Academia, nobody came close to todoroki becasue its too hot (except tetsutesu his quirk is steel) so all in all even if killua was faster than todoroki he cant get too close to Todoroki (unless he want to burn Oof).
"
"After playing a full-sized bass guitar all night, does the low weight of a ukulele bass seem appealing?","Well, no.
 I have a Kala uke bass with rubber strings. The reality is that it is next to impossible to keep the instrument in tune - even though the strings are a good four years old, they still continuously stretch.
 The lack of playability does not compensate for the low weight. Without playability, weight is irrelevant.
"
Are namjoon and rm close?,"Well obviously they are close because they are the same person.
"
What was the strangest fast food order you've seen?,"There was a guy who came to the Sonic I used to work in. He'd order a medium diet limeade. Except he wanted his with ice, lime, plain carbonated water and Sweet & Low. When I started there, it was two. By the time I left he'd worked up to seven packets. One of the most unhealthy looking individuals I've ever seen.
"
Which movie do you feel in Tamil is underrated?,"I am going to get a lot of heat for this
 I don't think my choice is underrated rather it's misunderstood
 Kacheri Arambam
"
Is there any prayer which God hasn’t answered?,"God will answer your prayers possibly not in the way you think you want but in the way that is best for you and your journey to Eternal life in heaven
"
Why are HDMI cords so expensive?,"Because customers like being ripped off.
"
Why do people from other countries think the USA’s healthcare system is so great?,"We were in Italy over Christmas, and my wife fell and dislocated her thumb. We took her to the ER, where she was treated quickly. When the doctor finished, she asked him where she could pay the bill. “There’s no charge,” he said.
 In the US that would cost $350 to $500.
"
How many countries have you travelled to and which are they?,"1-Philippines
 2-Indonesia
 3-Malaysia
 4-Singapore
 5-Thailand
 6-China
 7-Sri Lanka
 8-Nepal
 9-Oman
 10-UAE
 11-Kuwait
 12-Bahrain
 13-Qatar
 14-KSA
 15-Yemen
 16-Jordan
 17-Egypt
 18-Sudan
 19-Ethiopia
 20-Uganda
 21-Italy
 22-Vatican
 23-Greece
 24-Switzerland
 25-Lichtenstein
 26-German
 27-France
 28-Belgium
 29-Netherlands
 30-Holland
 31-Poland
 32-UK
 33-US
"
Why did Bill Gates say “If you think you’re a really good programmer… read Art of Computer Programming… You should definitely send me a résumé if you can read the whole thing”?,"No one’s a ‘really good programmer’.
 Humans just speak differently than programming, and don’t think about all the edge cases explicitly in daily life.
 So, people are bad programmers.
 The key for bad programmers to make good programs is to just keep improving it. Step, by step by step.
"
Does evaporation increase viscosity?,"Yes, in the case of a solution. I am thinking of the manufacture of sugar. The juice from sugar cane is of course mostly water. It is evaporated in vacuum chambers (to save energy). As the water evaporates, the solution gets thicker and thicker till you get molasses.
 The molasses is good for making rum.
"
What are the best non-Disney and non-Pixar animated movies?,"Fire and Ice
 Wizards
 Fritz the Cat
"
What mistakes do novice philosophers make that experienced ones do not?,"A novice philosopher will concentrate on deductive proof when most subjects require abductive reasoning. The difference is that there are no absolute proofs in abductive logic, only probabilities. The universe is based upon probability, not static reality.
"
"What does the British word ""bint"" refer to?","It means woman, bird, young lady.
"
How can I reach the mark of 20 LPA plus salary starting as a fresher with 6 LPA salary initially as a software engineer?,"It is not difficult to reach 20 LPA CTC in 2–3 years.
 Make sure your skills are in demand and change jobs every year. Ask for 100% hike between all changes. In 3 years, you will cross 20 LPA.
"
Which rock band has had the most messed up/dysfunctional history?,"Probably the British band Cream. Jack Bruce and Ginger Baker despised each other. So much so that when he was dying Jack Bruce called up Ginger Baker and said “Ginger, I’m dying. Fuck you.”
"
Do you think J&K people do not consider themselves as Indian citizens?,"I don't think so but don't say Jk because he is with V has Jimin always after him.
"
Why do conspiracy theorists need to believe in their theories?,"The psychology is interesting.
 ""Speaking of Psychology: Why people believe in conspiracy theories, with Karen Douglas, PhD"" [LINKED_TEXT: https://www.apa.org/research/action/speaking-of-psychology/conspiracy-theories] [URL: https://www.apa.org/research/action/speaking-of-psychology/conspiracy-theories]
"
How will humans look in 1000 years?,"Pretty much exactly the same as we do now.
 I mean, due to migration and intermingling, you might find the overall ethnic appearance in certain areas changing slightly, and possibly more people with a “mixed race” type appearance, but that’s about it.
 We will all still be the same species and any evolutionary changes will be extremely minor.
"
Why is it called electrostatics if the charges are not that really at rest? For example is the charges from the doorknob that would be transferred to you if touch. What is really the key term to understand electrostatics over electrodynamics?,"I can’t answer why, things pick up all sorts of completely inappropriate names for stupid historical reasons. But the key thing to understand is that ‘electrostatics’ is all about systems with charge imbalance and electrodynamics is everything else.
"
Did Einstein ever reject Newtonian physics?,"He corrected it!
"
What are the arguments for and against whether a human fertilized egg at the moment of conception is a person or not?,"A fertilized egg can divide and produce genetically identical but consciously distinct identical siblings. A fertilized egg is a genetic template, not an individual person.
"
How do I start making money at a young age?,"1) read Rich Dad, Poor Dad. 2) let it sink in. 3) reread Rich Dad, Poor Dad. 4) ACT.
"
How much money can you make online?,"I blogger can earn a good money but I don't know how I can make a blog.
"
"After losing everything that you own, what would you do?","​Say this.
"
What is the string theory about?,"Some people take up knitting, then go from there.
 Duh.
"
x^{2}+y^{2}=2,"Given , x+y = 2 and x²+y^2 = 2 Squaring first equation , we get  (x+y)^2 =4 => x^2+y^2+2xy=4 => 2+2xy =4 => 2xy= 4-2 =2 So , xy = 1  So , this is the mathematical approach. By the way, one can easily guess that the values of x and y should be 1 only. 
"
How do I reject a VC without spoiling the relationship?,"It doesn't sound to me like you had a clear understanding with First VC so I don't agree with the person who answered that he is unethical/lacking in integrity.  Sounds like you are learning through the process and may have led him to expect too much.  I would give him the opportunity to co-invest at the terms you have been offered by the second VC.  That said, asking for 50% is a red flag. Not sure a top tier VC would make such a demand.
"
What should I do before a month of the 10th board exams?,"Giving you advice with my experience.
 Don't study new topics.
 Focus on studying already cleared concepts and do Practice of solving questions with sample papers.
 And one more thing
Do Practice, practice and practice of unsolved and solved model test papers.
 It works.
 Thank You.
 Best of luck.
"
"What song has the lyrics ""someone left the cake out in the rain""?","McArthur ‘s Park sung by Richard Harris at one time.
"
How do I translate Hindi sentences in Sanskrit?,"for traslating learn (karak chinh)
"
x^{2}+y^{2}=2,"1
"
What happens when you boil milk?,"Milk is composed of water, fat, carbohydrates and protein. When you heat it, the water starts to evaporate and the other ingredients start to separate. Cooking it too quickly will burn the sugar and curdle the whey protein. This can cause the bottom of the pan to burn and a skin to form on top.
"
"If a submarine hit a seamount, in what ways could it be damaged that would require it to surface or return to shore?","Look up on the internet USS San Francisco, and USS Connecticut for a detailed answer.
"
"If you had one wish from a genie in a bottle, what would it be?","Ask for a million more wishes
"
Can I travel with my wife to the USA if she received a job and now has a temporary visa? I am not planning to work.,"You don't provide sufficient information. What classification of nonimmigrant visa does she have?
"
Do you think John Lennon would have been a Nirvana fan?,"Yeah
"
How do I get the birth certificate for my child?,"Born on 5.10.1961 in Bettiah, West Champaran, married and changed name, presently living in Noida. How can I get my birth certificate.
"
Can you share your notes of chemical bonding?,"Sure!Please[LINKED_TEXT:  click on the link and access the full Chapter Notes of Chemical Bonding] [URL: https://www.esaral.com/chemical-bonding-and-molecular-structure-notes-class-11-jee-neet/] You may go through all the topics within this.
 Happy to Help!
"
How much damage could German battleship Bismarck cause if it continued raiding allied convoys?,"Battleships turned out to be rather ineffective during WW II. There not much reason to believe that the situation would have been very different for the Bismarck.
"
What will happen if you're right next to Earth in space and you throw a ball towards it?,"I just tried it. As expected, the ball went down, hit the floor and bounced. Then it rolled under my desk, and I can’t get to it without getting down on the floor, a process that is easy enough, but the last time I did this, it took me half an hour to get back up again. So the ball is going to stay under the desk.
"
"What is the deal with the V in US Navy abbreviations (e.g., VFA, VAL, VAQ)?","The “V” signifies fixed wing aircraft.
"
Can a sociopath feel happiness or have mania/hypomania?,"Yeah. At least one or the other.
"
A 500 ft. train travelling 500 ft per minute must travel through a 500 ft long tunnel. How long will it take the train to travel through the tunnel?,"The train length +tunnel length =500 +500 ft =1000 ft
 speed of train =500 ft/min
 so the train takes = 1000/500 mins = 2 minutes to pass the tunnel completely
"
What is jazz?,"“Jazz is the music of unemployment.” - Frank Zappa
 ""If it has more than three chords, it's jazz."" - Lou Reed
"
"Which scene do you think shows Darth Vader at his most terrifying, his rampage in Rogue One or the scene in Episode Three of the Obi-Wan Kenobi miniseries?","Episode Three. In Rogue One is a combat situation against insurrectionists. In Episode Three he's battering and killing innocent people to attempt to lure out his true target. Who he then proceeds to taunt, toy with, and torture physically and psychologically.
"
Can you tame an older feral cat?,"Yes
"
What is the difference between lucid dreaming and astral projection?,"With lucid dreaming it’s just happening in your head, but with astral projection you are out of your body and on the Astral Plane.
"
"If you walk into a buffet restaurant technically during their ""lunch times"" but leave during ""dinner times"" assuming they are two different prices which price do you get charged?","You get charged the price for the time you go through the register. If you go through at 3:45 and dinner starts at 4:00, you pay the lunch price. If there’s a long line and you reach the register at 4:01, you pay dinner pricing.
"
What is cosmetic dentistry and how is it different from general dentistry?,"By [LINKED_TEXT: Cosmetic dental] [URL: https://brickyardstationdental.com/services/cosmetic-dentistry/] care improving the appearance of your teeth to give you a beautiful sparkling smile. By providing cosmetic dental care. As well as General Dentistry focuses on preventing and treating oral diseases. That is a difference between the Cosmetic and General Dentistry.
"
What is your opinion of Adam Schiff presenting indisputable evidence that the Trump campaign did in fact collude with Russia and criticising the GOP?,"Seriously?
"
Was Santa ever skinny?,"Yes, before he met his wife Mrs. Claus….she really knew how to cook to his delight.
"
Could the Egyptian hieroglyphs with elongated skulls be homo-erectus?,"No. Homo Erectus was long extinct prior to the Egyptian civilization.
"
Is the current Russia Ukraine situation similar to the Britain-Falklands/Argentina situation under Margaret Thatcher?,"Defeating Russia is going to be a much longer, slower, process than defeating Argentina, and the means will be through economic and cyber warfare, rather than guns and missiles.
"
"Why did George Washington choose to be ""George Washington, President of the United States"" and not ""George I, King of the United States""?","THE USA HAD IN 1776, WON THE WAR OF “INDEPENCE!”
"
"If the multiverse theory is true, isn't it inevitable that the universe collides with another universe as there is an infinite amount of universes all expanding?","The IF is doing all the lifting in this question
"
Who invented the donut hole?,"The answer to THAT, is WHOLLY UNKNOWN
"
What percentage of guys in the gym use steroids?,"At my gym, probably over 50%. I'm 24.8 on FFMI and I look smaller than all of them. Maybe some of them aren't. They do have higher BF% which can make them look bigger. I'm 5′7″ 180lbs and 14% bf. I'm stronger than some of these guys too, which blows my mind.
"
Is the Big Whisper theory using the same scientific facts as the Big Bang theory a good alternative?,"Probably not, since I try to keep up & and never heard of it.
"
How many countries have you travelled to and which are they?,"My dad’s job took us overseas and I’ve lived in a few different countries including:
 America (born there) China, Taiwan, and India. You could say I’m definitely a third culture kid.
 I’ve visited:
 Japan, Thailand, Nepal, Pakistan, Bangladesh, Singapore, Malaysia, Australia, Bali, Sri Lanka, New Zealand, Italy, Scotland, and Ireland
 So in my 18 years I’ve been to 18 countries!
"
Does Uber charge more for two people riding together?,"No. You can request a “pool” ride and have up to 2 people in your group. Pool price is lower. Ride time may increase because driver may pickup other pool riders.
"
How do I make a final year project?,"Hello folks,
Identify the projects that are required by the industry.Don't do the projects which are already done by the seniors.Accept projects from Industry or any consultants and execute it with the help of professors.Avoid assembling kits and/or buying ready made DYI kits.
"
"If the multiverse theory is true, what universes can you come up with that have only minor details changed from ours that ensures hilarity?","A universe where the physics is like in goat simulator…
"
"Earlier, I asked about the easiest song Keith Moon played, so tell me, what's the hardest song Keith Moon has played with The Who?","Probably either one of these two songs 1) Bargain 1971 Who’s Next, or 2) The Real Me 1973 Quadrophenia.
"
How simple and down to earth is Arijit Singh?,"I have not listened to his singing.He is from Bengal and sings well in both Bengali and Hindi.Whether he is simple and down to earth is not known to me as I have not listened to his talks or his expressions about life or about his encounters with audience.
"
What is the best one liner you have written?,      
What will happen to a human on the Earth-like planet Tau Ceti b?,"Hi, . How do you know it is Earth-like. ?
 I doubt it very, very much, even if it is in a Goldilocks region.
"
Is there a right way which finger to use when reading sheet music? I would like to take a piano lesson but its expensive.,"Yes there is a right way and suggested fingerings. This is why you should take lessons because you can learn the wrong way and develop bad habits and spend years undoing them.
"
"Can India, Russia, North Korea, & China together defeat the USA alone in a war, if it happens in 2025? How long could they sustain the war?","It always depend on how much stupid the stronger power is. If hey are stupid enough to attack us. We are stronger enough to protect us.
"
How do you imagine life in 100 years?,"Sadly, the people of that age will be unable to benefit from my enlightened and charming presence.
"
Are namjoon and rm close?,"yes they are the same person
"
Do animals have secret societies?,"Yes. Look up the Elks, Moose and Lions.
"
Is booking a consultation with a financial advisor worth it?,"Yes definitely. It will help you put your goals in perspective and also help you to get started on your investment.
 It can also help you evaluate your current investments to know whether you are on track.
"
"In World War II, why did Stalin order that Moscow buildings be burned down, despite the freezing Russian winter?","You must be confusing 1941 with 1812, a Napoleonic war, and Stalin with Moscow governor under Alexander I Count Rastopchin. And brick and concrete Moscow of 1930ies with early 19 c largely wooden one.
"
How do you know that you have found a true friend?,"Check below video to help you identify your fake friends.
"
"Can a digital marketing consultant only specialize in SEO, or is that too small of a specialty?","Digital marketing is a wide category which SEO is just one part of. The combination of SEO along with other important disciplines makes up digital marketing.
 To name a few, digital marketing will include
Media buyingSocial Media MarketingEmail MarketingContent MarketingSEOSEMWebsite Management (UI, Experience)
Now in these disciplines, you can further categorize down and break into sub-categories.
"
Why did England's cricket player Eoin Morgan wear two caps during the match?,"Only two.
 What about the other 8.
 He is the Cap10 after all.
"
How is Sweden able to send almost no trash to a landfill?,"Shalom
 Look at “Trash in Sweden” There you find a little trash but a lot of useful info.
 In friendship
 Rima
"
What is the best thing I can do before I die?,"Start living for others, the needy ones. Try to bring smile on their faces. If you had done this you don’t need to go anywhere.
"
What is it like to be in a mental hospital for depression?,"For me it was ok, I kinda preferred being in the hospital it was my safe space. It was repetitive but I needed that. It was hard when others had their break downs or outbursts caused lots of anxiety attacks. I liked the food, some of the staff were cool, it felt like everyone was family there, I made lots of friends with other patients.
"
What should writers know?,"It's not going to be easyThere will be a lot of criticismsFocus on enhancing your skillUnderstand what type of content you like and specialize in itWrite every day to improveThere will be people who won't like your writing that doesn't mean you a bad writerCreate your style
"
"Atheists, take a look around. Do you like the world science has lead you to?","Absolutely, science, Biology, gave me a career that I was able to excel in with my Cerebral Palsy. Religion has had no influence or respect for my disability.
"
What is the equation of the cubic polynomial that has roots -4 and 2i?,"Complex roots always occur in pairs. Thus the roots are -4, +2i, -2i. So factors are (x+4)(x-2i)(x+2i). Multiply out for the equation.
"
What is it like being a farmer? Are farmers happy?,"It depends if you find satisfaction in your work. Then it’s satisfying but exhausting. The rest of the time it’s just exhausting.
"
What score is enough to get a job in the SSC CGL Tier 2 (without normalization) and Tier 1 (with normalization)?,"Hii,
 If you have 470+ marks (tier1+tier2) and you get average marks in tier 3 , then you will surely get a job (probably nip).
 If you have 500+ scores (tier1+tier2) and you get 65+ in tier 3 , you will be in the race to inspector post.
 Thank you!!!
"
What do you see when you look at the GOP?,"Blatant Hypocrisy
"
What meal do you cook when you want to show off your culinary prowess?,"My best is beef roast. Usually I cook it mostly for myself. I really don't care about impressing anyone.
"
Should we be kind to people?,"Be kind…
[LINKED_TEXT: [1]] [URL: #BGDQZ]Footnotes
[LINKED_TEXT: [1] ] [URL: #cite-BGDQZ][LINKED_TEXT: Be kind] [URL: https://mythoughtsonword.blogspot.com/2021/12/be-kind.html]"
What is the maximum video size on Instagram?,"As far as I know there is no maximum file size on Instagram. With its latest update, it is possible to upload a file to Instagram from your desktop PC so file size is becoming a less important issue.
"
What did the US Government do that was so heinous that it caused Americans to decide they needed an unchecked right to bear arms?,"It wasn’t the US government, it was the British Crown. However, it also was about having armed citizens who would help defend the nation. It is only recently that the notion of a tyrannical US Government has gotten traction with the pro gun side, as an additional reasoning to allow loosened gun laws. The old Patriotic meme.
"
Why did the army get rid of digital camo?,"Which army are you referring to as “the” army? The army here in Canada hasn’t gotten rid of it. CADPAT is extremely effective and has been updated to be even more effective.
"
Which is the best picture you saw on Instagram today?,"Not on instagram but on quora itself. It will surely help you deal if you having a tough time:
"
What is something that you will never do?,"My brother forwarded this to me.
 If it fell on the field, then the current would have spread in the entire field due to water… Farmers and children working there would have fallen prey to it…
 But Hanuman ji saved all of them..
 A MIRACLE!!!
 Now you can understand why they are called Sankatmochan.
"
What are your silly little parenting tricks that you're so glad you discovered?,"it is the most amazing trick that I discovered and found it very helpful and relaxing.
 I have explained this in detail in my below video.
"
Is Bangladesh more powerful and prosperous than Pakistan?,"Not far more but obviously more. Bangladeshs prosper in sectors like life expectency, education, money value, population controlle, peace, food cultivating, garments, gdp, foreign reserve etc are more prospurous than Pakistan. And if everything goes as it is going now soon Bangladesh will leave Pakistan far behind in every sector.
"
What does a fungal infection look like on a turtle?,"Fungal Infections
 Red Eared Sliders and other turtles can develop fuzzy gray and white patches that are fungal growths. One of the major causes of this is poor water quality and an improper basking area. Make sure you have a good full spectrum or UVB Light that gives off some good heat.
[LINKED_TEXT: https://bit.ly/3aKrW9d] [URL: https://bit.ly/3aKrW9d]For further info
"
What is the fate of hemoglobin in the body?,"Haemoglobin is a type of globular protein present in red blood cells (RBCs), which transports oxygen in our body through blood.
"
Why isn't there a lot of gold on Earth?,"Estimates are that there is enough gold to pave the entire surface of the Earth at least a few feet deep. But, being one of the heaviest elements, most of that gold is in or near the core of the planet where we will never reach it.
"
f(x) = (-1)^x,"Range is {1,-1}
"
The Mahabharata,"It has to be Lord Krishna. Lord Krishna wasn't an incarnation of Lord Vishnu he was Lord Vishnu himself. He had all the qualities and powers of Lord Vishnu. He was not just skilled in war strategy he tipped the scales in everything. Be it as a war strategist or as a warrior. He could have finished the Kurukshetra war in moments if he had lifted weapons. He had limitless strength and was e extremely skilled with all kinds of weapons. He was second to none.
"
What is the best defence against ransomware?,"Norton, it offers many premium and important features than others
"
Is it true that Lord Shiva is not mentioned in the Vedas?,"Unfortunately, I never ran across the name Shiva in the Rig Veda. In the Yajur Veda, I have ran across Pashupati and Rudra I think (Rudra is also in the Rig Veda. ) . But so far, no Shiva.
"
What is Robert A. Heinlein's best Young Adult novel?,"Citizen of the Galaxy would get my vote.
"
"In World War II, why did Stalin order that Moscow buildings be burned down, despite the freezing Russian winter?","He wanted nothing left to the enemy.
"
